Komponist,Werkname,Satz_Nr,Kommentar,tapping_files,tapping_folder,recording_folder,Dirigent,Orchester,Aufnahmejahr,KWV,Product ID,auf GitHub?,Quelle,Kommentar,Takt von,Takt bis,,"Granularitäten Gl,j der Abschnitte Sl,j"
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Thomas Beecham,LPO,1937,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Moretti Korol,moderntimes 1800,2007,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Jaap ter Linden,Moz Akadem Amstderdam,2002,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Chung,N. Sinfonia England,1983,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Abbado,Orch Mozart,2006,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,"Ferenc Karl Fricsay
",RIAS,1955,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Leonard Bernstein,Wiener Philharmoniker,1984,,,x,,,,,,
Wolfgang Amadeus Mozart,Symphonie No. 29 KV 201,1,,,,,Ton Koopman,,1987,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 3,0,,,,,Herbert von Karajan,,1963,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 3,0,,,,,Wilhelm Furtwängler,,1952,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 4,0,,,,,Carlos Kleiber,,1984,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 4,0,,,,,Herbert von Karajan,,1963,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 4,0,,,,,Wilhelm Furtwängler,,1953,,,x,,,,,,
Robert Schumann,Symphonie No. 4,1,,,,,Herbert von Karajan,Berliner Philharmoniker,1957,,,,,,1,42,,Viertelnoten
Robert Schumann,Symphonie No. 4,1,,,,,Rafael Kubelík,Berliner Philharmoniker,1963,,,,,,1,42,,Viertelnoten
Robert Schumann,Symphonie No. 4,1,,,,,Wilhelm Furtwängler,Berliner Philharmoniker,1953,,,,,,1,42,,Viertelnoten
Robert Schumann,Symphonie No. 4,1,,,,,Herbert von Karajan,Wiener Philharmoniker,1965,,,,,,1,42,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 5,0,,,,,Carlos Kleiber,,1975,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 5,0,,,,,Herbert von Karajan,,1963,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 5,0,,,,,Wilhelm Furtwängler,,1954,,,x,,,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,John Storgards,BBC Philharmonic,2012,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Leif Segerstam,BBC Scottish Symphony Orchestra,2006,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Herbert von Karajan,Berliner Philharmoniker,1967,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Simon Rattle,Berliner Philharmoniker,2015,,,nein,,1,,,,
